all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,125764,215951,1069,1298,853,97641


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
"pos from 数字 to 介词
"


"pos from 数字 to 副词
"


"pos from 数字 to 助词
"


"pos from 数字 to 并列连词
"


"pos from 数字 to 定冠
"


"pos from 数字 to 感叹
"


"pos from 数字 to 名词
"
original sentence,"Mathematically this law is now written : ½ ρ u 2 + P = constant where P is pressure , ρ is the density of the fluid and u is its velocity ."
wrong word,½ 8
mutation sentence,"Mathematically this law is now written : 2 ½ ρ u 2 + P = constant where P is pressure , ρ is the density of the fluid and u is its velocity ."

original sentence,"She died on November 23 , 1896 , at the age of twenty-four ."
wrong word,twenty-four 13
mutation sentence,"She died on November 23 , 1896 , at the age of twenty twenty-four ."
mutation sentence,"She died on November 23 , 1896 , at the age of thirty twenty-four ."
mutation sentence,"She died on November 23 , 1896 , at the age of forty twenty-four ."
mutation sentence,"She died on November 23 , 1896 , at the age of fifty twenty-four ."
mutation sentence,"She died on November 23 , 1896 , at the age of seventy twenty-four ."
mutation sentence,"She died on November 23 , 1896 , at the age of sixty twenty-four ."
mutation sentence,"She died on November 23 , 1896 , at the age of eighty twenty-four ."

original sentence,Doing this too often can quickly turn an otherwise flirtatious conversation into one in which you appear needy and self-loathing .
wrong word,one 13
mutation sentence,Doing this too often can quickly turn an otherwise flirtatious conversation into serious one in which you appear needy and self-loathing .
mutation sentence,Doing this too often can quickly turn an otherwise flirtatious conversation into awkward one in which you appear needy and self-loathing .



"pos from 数字 to 数字
"


"pos from 数字 to 功能
"


"pos from 数字 to 代词
"


"pos from 数字 to 特指名词
"


"pos from 数字 to 标点
"
original sentence,"Mathematically this law is now written : ½ ρ u 2 + P = constant where P is pressure , ρ is the density of the fluid and u is its velocity ."
wrong word,½ 8
mutation sentence,"Mathematically this law is now written : 0 ½ ρ u 2 + P = constant where P is pressure , ρ is the density of the fluid and u is its velocity ."



"pos from 数字 to 从句连词
"


"pos from 数字 to 符号
"


"pos from 数字 to 动词
"


"pos from 数字 to 其他
"


"pos from 功能 to 形容
"


"pos from 功能 to 介词
"
original sentence,"Since conflicts of interest are a reason to discount expertise , it is incumbent on me to note that I have published in Frontiers journals on several occasions ."
wrong word,to 17
mutation sentence,"Since conflicts of interest are a reason to discount expertise , it is incumbent on me to further note that I have published in Frontiers journals on several occasions ."

original sentence,"Hadid studied mathematics at the American University of Beirut before moving , in 1972 , to London to study at the Architectural Association School of Architecture ."
wrong word,to 18
mutation sentence,"Hadid studied mathematics at the American University of Beirut before moving , in 1972 , to London to further study at the Architectural Association School of Architecture ."

original sentence,Nor did she realize that he wrote popular literature which aimed to please the general public and in no way wished to be associated with serious literature .
wrong word,to 12
mutation sentence,Nor did she realize that he wrote popular literature which aimed to better please the general public and in no way wished to be associated with serious literature .

original sentence,"His first campaign raised funds for To Write Love On Her Arms , which supports people struggling with depression , addiction , self-injury , and suicide ."
wrong word,To 7
mutation sentence,"His first campaign raised funds for Not To Write Love On Her Arms , which supports people struggling with depression , addiction , self-injury , and suicide ."

original sentence,The sunlight turned her hair to fire and Carroll found it difficult to look directly at her .
wrong word,to 6
mutation sentence,The sunlight turned her hair back to fire and Carroll found it difficult to look directly at her .
mutation sentence,The sunlight turned her hair to orange fire and Carroll found it difficult to look directly at her .
mutation sentence,The sunlight turned her hair to blue fire and Carroll found it difficult to look directly at her .
mutation sentence,The sunlight turned her hair to green fire and Carroll found it difficult to look directly at her .
mutation sentence,The sunlight turned her hair to red fire and Carroll found it difficult to look directly at her .
mutation sentence,The sunlight turned her hair to golden fire and Carroll found it difficult to look directly at her .
mutation sentence,The sunlight turned her hair to yellow fire and Carroll found it difficult to look directly at her .
mutation sentence,The sunlight turned her hair to bright fire and Carroll found it difficult to look directly at her .

original sentence,The baseline data that I use to --
wrong word,to 7
mutation sentence,The baseline data that I use here to --

original sentence,"The accident , which occurred yesterday afternoon , was caused by strong winds and heavy rain that led the crane to fall ."
wrong word,to 21
mutation sentence,"The accident , which occurred yesterday afternoon , was caused by strong winds and heavy rain that led the crane to free fall ."



"pos from 功能 to 副词
"
original sentence,It is important not to touch the luminol .
